level 5
#{{l|ja|飼う}}, {{l|ja|かう}} -to keep, to raise, to feed
#{{l|ja|替える}}, {{l|ja|かえる}} -to exchange, to interchange, to substitute, to replace
#{{l|ja|換える}}, {{l|ja|かえる}} -to exchange, to interchange, to substitute, to replace
#{{l|ja|香り}}, {{l|ja|かおり}} -aroma, fragrance, scent, smell
#{{l|ja|画家}}, {{l|ja|がか}} -painter, artist
#{{l|ja|抱える}}, {{l|ja|かかえる}} -to hold or carry under or in the arms
#{{l|ja|価格}}, {{l|ja|かかく}} -price, value, cost
#{{l|ja|化学}}, {{l|ja|かがく}} -chemistry
#{{l|ja|輝く}}, {{l|ja|かがやく}} -to shine, to glitter, to sparkle
#{{l|ja|係}}, {{l|ja|かかり}} -official, duty, person in charge
#{{l|ja|掛かる}}, {{l|ja|かかる}} -to take (e.g. time, money, etc),to hang
#{{l|ja|罹る}}, {{l|ja|かかる}} -to suffer from
#{{l|ja|鍵}}, {{l|ja|かぎ}} -key
#{{l|ja|限る}}, {{l|ja|かぎる}} -to restrict,to limit,to confine
#{{l|ja|描く}}, {{l|ja|かく}} -to draw,to paint,to sketch,to depict,to describe
#{{l|ja|家具}}, {{l|ja|かぐ}} -furniture
#{{l|ja|学}}, {{l|ja|がく}} -learning,scholarship,erudition,knowledge
#{{l|ja|額}}, {{l|ja|がく}} -picture frame
#{{l|ja|覚悟}}, {{l|ja|かくご}} -resolution, resignation, readiness, preparedness
#{{l|ja|確実}}, {{l|ja|かくじつ}} -certainty, reliability, soundness
#{{l|ja|学者}}, {{l|ja|がくしゃ}} -scholar
#{{l|ja|学習}}, {{l|ja|がくしゅう}} -study,learning
#{{l|ja|隠す}}, {{l|ja|かくす}} -to hide,to conceal
#{{l|ja|拡大}}, {{l|ja|かくだい}} -magnification, enlargement
#{{l|ja|確認}}, {{l|ja|かくにん}} -affirmation, confirmation
#{{l|ja|学問}}, {{l|ja|がくもん}} -scholarship, study, learning
#{{l|ja|隠れる}}, {{l|ja|かくれる}} -to hide, to be hidden, to conceal oneself, to disappear
#{{l|ja|影}}, {{l|ja|かげ}} -shade, shadow, other side
#{{l|ja|陰}}, {{l|ja|かげ}} -shade,shadow,other side
#{{l|ja|欠ける}}, {{l|ja|かける}} -to be lacking
#{{l|ja|加減}}, {{l|ja|かげん}} -addition and subtraction,allowance for
#{{l|ja|過去}}, {{l|ja|かこ}} -the past,bygone days,the previous
#{{l|ja|籠}}, {{l|ja|かご}} -basket,cage
#{{l|ja|囲む}}, {{l|ja|かこむ}} -to surround,to encircle
#{{l|ja|火災}}, {{l|ja|かさい}} -conflagration,fire
#{{l|ja|菓子}}, {{l|ja|かし}} -pastry
#{{l|ja|家事}}, {{l|ja|かじ}} -housework,domestic chores
#{{l|ja|賢い}}, {{l|ja|かしこい}} -wise,clever,smart
#{{l|ja|歌手}}, {{l|ja|かしゅ}} -singer
#{{l|ja|数}}, {{l|ja|かず}} -number,figure
#{{l|ja|稼ぐ}}, {{l|ja|かせぐ}} -to earn income,to labor
#{{l|ja|数える}}, {{l|ja|かぞえる}} -to count
#{{l|ja|型}}, {{l|ja|かた}} -mold,model,style,shape,data-type
#{{l|ja|肩}}, {{l|ja|かた}} -shoulder
#{{l|ja|硬い}}, {{l|ja|かたい}} -solid,hard (esp. metal, stone),unpolished writing
#{{l|ja|方々}}, {{l|ja|かたがた}} -persons,this and that,here and there,everywhere
#{{l|ja|刀}}, {{l|ja|かたな}} -sword,saber,knife,engraving tool
#{{l|ja|語る}}, {{l|ja|かたる}} -to talk,to tell,to recite
#{{l|ja|勝ち}}, {{l|ja|かち}} -win,victory
#{{l|ja|価値}}, {{l|ja|かち}} -value,worth,merit
#{{l|ja|がっかり}} -feel disappointed,be dejected,lose heart
#{{l|ja|活気}}, {{l|ja|かっき}} -energy,liveliness
#{{l|ja|学期}}, {{l|ja|がっき}} -term (school)
#{{l|ja|格好}}, {{l|ja|かっこう}} -shape,form,posture,suitability,appearance
#{{l|ja|活動}}, {{l|ja|かつどう}} -action,activity
#{{l|ja|活用}}, {{l|ja|かつよう}} -conjugation,practical use
#{{l|ja|悲しむ}}, {{l|ja|かなしむ}} -to be sad,to mourn for,to regret
#{{l|ja|必ずしも}}, {{l|ja|かならずしも}} -(not) always,(not) necessarily,(not) all,(not) entirely
#{{l|ja|かなり}} -considerably,fairly,quite
#{{l|ja|金}}, {{l|ja|かね}} -(1) gold,(2) gold general (shogi) (abbr)
#{{l|ja|可能}}, {{l|ja|かのう}} -possible,practicable,feasible
#{{l|ja|株}}, {{l|ja|かぶ}} -share,stock,stump (of tree)
#{{l|ja|被る}}, {{l|ja|かぶる}} -to put on , wear, cover (one's) head,
#{{l|ja|構う}}, {{l|ja|かまう}} -to mind,to care about,to be concerned about
#{{l|ja|我慢}}, {{l|ja|がまん}} -patience,endurance,perseverance
#{{l|ja|上}}, {{l|ja|かみ}} -(1) first volume,(2) superior quality,(3) governmental
#{{l|ja|神}}, {{l|ja|かみ}} -god
#{{l|ja|雷}}, {{l|ja|かみなり}} -thunder
#{{l|ja|髪の毛}}, {{l|ja|かみのけ}} -hair (head)
#{{l|ja|科目}}, {{l|ja|かもく}} -(school) subject,curriculum,course
#{{l|ja|かもしれない}} -may,might,perhaps,may be,possibly
#{{l|ja|火曜}}, {{l|ja|かよう}} -(abbr) Tuesday
#{{l|ja|空}}, {{l|ja|から}} -empty
#{{l|ja|柄}}, {{l|ja|がら}} -pattern
#{{l|ja|刈る}}, {{l|ja|かる}} -to cut (hair),to mow (grass),to harvest
#{{l|ja|彼等}}, {{l|ja|かれら}} -they (usually male)
#{{l|ja|川}}, {{l|ja|かわ}} -river
#{{l|ja|河}}, {{l|ja|かわ}} -river,stream
#{{l|ja|皮}}, {{l|ja|かわ}} -skin,hide,leather,fur,pelt,bark,shell
#{{l|ja|革}}, {{l|ja|かわ}} -leather
#{{l|ja|かわいそう}} -poor,pitiable,pathetic
#{{l|ja|かわいらしい}} -lovely,sweet
#{{l|ja|缶}}, {{l|ja|かん}} -can,tin
#{{l|ja|勘}}, {{l|ja|かん}} -perception,intuition,the sixth sense
#{{l|ja|考え}}, {{l|ja|かんがえ}} -thinking,thought,ideas,intention
#{{l|ja|感覚}}, {{l|ja|かんかく}} -sense,sensation
#{{l|ja|観客}}, {{l|ja|かんきゃく}} -audience,spectator(s)
#{{l|ja|環境}}, {{l|ja|かんきょう}} -environment,circumstance
#{{l|ja|歓迎}}, {{l|ja|かんげい}} -welcome,reception
#{{l|ja|観光}}, {{l|ja|かんこう}} -sightseeing
#{{l|ja|観察}}, {{l|ja|かんさつ}} -observation,survey
#{{l|ja|感じ}}, {{l|ja|かんじ}} -feeling,sense,impression
#{{l|ja|感謝}}, {{l|ja|かんしゃ}} -thanks,gratitude
#{{l|ja|患者}}, {{l|ja|かんじゃ}} -a patient
#{{l|ja|勘定}}, {{l|ja|かんじょう}} -calculation,counting,consideration
#{{l|ja|感情}}, {{l|ja|かんじょう}} -emotion(s),feeling(s),sentiment
#{{l|ja|感じる}}, {{l|ja|かんじる}} -to feel,to sense,to experience
#{{l|ja|感心}}, {{l|ja|かんしん}} -admiration,Well done!
#{{l|ja|関心}}, {{l|ja|かんしん}} -concern,interest
#{{l|ja|関する}}, {{l|ja|かんする}} -to concern,to be related
#{{l|ja|完成}}, {{l|ja|かんせい}} -(1) complete,completion,(2) perfection,accomplishment
#{{l|ja|完全}}, {{l|ja|かんぜん}} -perfection,completeness
#{{l|ja|感動}}, {{l|ja|かんどう}} -being deeply moved,excitement,impression,deep emotion
#{{l|ja|監督}}, {{l|ja|かんとく}} -supervision,control,superintendence
#{{l|ja|管理}}, {{l|ja|かんり}} -control,management (e.g. of a business)
#{{l|ja|完了}}, {{l|ja|かんりょう}} -completion,conclusion
#{{l|ja|関連}}, {{l|ja|かんれん}} -relation,connection,relevance
#{{l|ja|議員}}, {{l|ja|ぎいん}} -member of the Diet, congress or parliament
#{{l|ja|記憶}}, {{l|ja|きおく}} -memory,recollection,remembrance
#{{l|ja|気温}}, {{l|ja|きおん}} -temperature
#{{l|ja|機械}}, {{l|ja|きかい}} -machine,mechanism
#{{l|ja|議会}}, {{l|ja|ぎかい}} -Diet,congress,parliament
#{{l|ja|期間}}, {{l|ja|きかん}} -period,term
#{{l|ja|機関}}, {{l|ja|きかん}} -organ,mechanism,facility,engine
#{{l|ja|企業}}, {{l|ja|きぎょう}} -enterprise,undertaking
#{{l|ja|効く}}, {{l|ja|きく}} -to be effective
#{{l|ja|機嫌}}, {{l|ja|きげん}} -humour,temper,mood
#{{l|ja|気候}}, {{l|ja|きこう}} -climate
#{{l|ja|岸}}, {{l|ja|きし}} -bank,coast,shore
#{{l|ja|生地}}, {{l|ja|きじ}} -birthplace
#{{l|ja|記事}}, {{l|ja|きじ}} -article,news story,report,account
#{{l|ja|技師}}, {{l|ja|ぎし}} -engineer,technician
#{{l|ja|記者}}, {{l|ja|きしゃ}} -reporter
#{{l|ja|傷}}, {{l|ja|きず}} -wound,injury,hurt,cut
#{{l|ja|期待}}, {{l|ja|きたい}} -expectation,anticipation,hope
#{{l|ja|帰宅}}, {{l|ja|きたく}} -returning home
#{{l|ja|貴重}}, {{l|ja|きちょう}} -precious,valuable
#{{l|ja|議長}}, {{l|ja|ぎちょう}} -chairman
#{{l|ja|きちんと}} -precisely,accurately
#{{l|ja|きつい}} -tight,close,intense
#{{l|ja|気付く}}, {{l|ja|きづく}} -to notice,to recognize,to become aware of
#{{l|ja|気に入る}}, {{l|ja|きにいる}} -to be pleased with,to suit
#{{l|ja|記入}}, {{l|ja|きにゅう}} -entry,filling in of forms
#{{l|ja|記念}}, {{l|ja|きねん}} -commemoration,memory
#{{l|ja|機能}}, {{l|ja|きのう}} -function,faculty
#{{l|ja|気の毒}}, {{l|ja|きのどく}} -pitiful,a pity
#{{l|ja|寄付}}, {{l|ja|きふ}} -contribution,donation
#{{l|ja|希望}}, {{l|ja|きぼう}} -hope,wish,aspiration
#{{l|ja|基本}}, {{l|ja|きほん}} -foundation,basis,standard
#{{l|ja|決まり}}, {{l|ja|きまり}} -settlement,conclusion,regulation,rule
#{{l|ja|気味}}, {{l|ja|きみ}} --like,-looking,-looked
#{{l|ja|奇妙}}, {{l|ja|きみょう}} -strange,queer,curious
#{{l|ja|義務}}, {{l|ja|ぎむ}} -duty,obligation,responsibility
#{{l|ja|疑問}}, {{l|ja|ぎもん}} -question,problem,doubt,guess
#{{l|ja|逆}}, {{l|ja|ぎゃく}} -reverse,opposite
#{{l|ja|旧}}, {{l|ja|きゅう}} -ex-
#{{l|ja|級}}, {{l|ja|きゅう}} -class, grade, rank,school class, grade
#{{l|ja|球}}, {{l|ja|きゅう}} -globe,sphere,ball
#{{l|ja|九}}, {{l|ja|きゅう }} -nine
#{{l|ja|九}}, {{l|ja|く}} -nine
#{{l|ja|休暇}}, {{l|ja|きゅうか}} -holiday,day off,furlough
#{{l|ja|休憩}}, {{l|ja|きゅうけい}} -rest,break,recess,intermission
#{{l|ja|急激}}, {{l|ja|きゅうげき}} -sudden,precipitous,radical
#{{l|ja|吸収}}, {{l|ja|きゅうしゅう}} -absorption,suction,attraction
#{{l|ja|救助}}, {{l|ja|きゅうじょ}} -relief,aid,rescue
#{{l|ja|急速}}, {{l|ja|きゅうそく}} -rapid (e.g. progress)
#{{l|ja|急に}}, {{l|ja|きゅうに}} -suddenly
#{{l|ja|給料}}, {{l|ja|きゅうりょう}} -salary,wages
#{{l|ja|器用}}, {{l|ja|きよう}} -skillful,handy
#{{l|ja|教科書}}, {{l|ja|きょうかしょ}} -text book
#{{l|ja|競技}}, {{l|ja|きょうぎ}} -game,match,contest
#{{l|ja|行儀}}, {{l|ja|ぎょうぎ}} -manners
#{{l|ja|供給}}, {{l|ja|きょうきゅう}} -supply,provision
#{{l|ja|教師}}, {{l|ja|きょうし}} -teacher (classroom)
#{{l|ja|教授}}, {{l|ja|きょうじゅ}} -teaching,instruction,professor
#{{l|ja|強調}}, {{l|ja|きょうちょう}} -emphasis,stress,stressed point
#{{l|ja|共通}}, {{l|ja|きょうつう}} -commonness,community
#{{l|ja|共同}}, {{l|ja|きょうどう}} -cooperation,association,collaboration,joint
#{{l|ja|恐怖}}, {{l|ja|きょうふ}} -be afraid,dread,dismay,terror
#{{l|ja|協力}}, {{l|ja|きょうりょく}} -cooperation,collaboration
#{{l|ja|強力}}, {{l|ja|きょうりょく}} -herculean strength,mountain carrier-guide
#{{l|ja|きょか}} -permission,approval
#{{l|ja|局}}, {{l|ja|きょく}} -a bureau, department
#{{l|ja|極}}, {{l|ja|きょく}} -a pole
#{{l|ja|巨大}}, {{l|ja|きょだい}} -huge,gigantic,enormous
#{{l|ja|嫌う}}, {{l|ja|きらう}} -to hate,to dislike,to loathe
#{{l|ja|霧}}, {{l|ja|きり}} -fog,mist
#{{l|ja|切れ}}, {{l|ja|きれ}} -cloth,piece,cut,chop
#{{l|ja|切れる}}, {{l|ja|きれる}} -(1) to cut well,to be sharp,(2) to break (off)
#{{l|ja|キロ}} -(abbr) kilo-,kilogram,kilometre,10^3
#{{l|ja|記録}}, {{l|ja|きろく}} -record,minutes,document
#{{l|ja|議論}}, {{l|ja|ぎろん}} -argument,discussion,dispute
#{{l|ja|金}}, {{l|ja|きん}} -(1) gold,(2) gold general (shogi) (abbr)
#{{l|ja|銀}}, {{l|ja|ぎん}} -(1) silver,silver coin,silver paint
#{{l|ja|禁煙}}, {{l|ja|きんえん}} -No Smoking!
#{{l|ja|金額}}, {{l|ja|きんがく}} -amount of money
#{{l|ja|金庫}}, {{l|ja|きんこ}} -safe,vault,treasury,provider of funds
#{{l|ja|禁止}}, {{l|ja|きんし}} -prohibition,ban
#{{l|ja|金銭}}, {{l|ja|きんせん}} -money,cash
#{{l|ja|金属}}, {{l|ja|きんぞく}} -metal
#{{l|ja|近代}}, {{l|ja|きんだい}} -modern ages
#{{l|ja|緊張}}, {{l|ja|きんちょう}} -tension,mental strain,nervousness
#{{l|ja|筋肉}}, {{l|ja|きんにく}} -muscle,sinew
#{{l|ja|金融}}, {{l|ja|きんゆう}} -finance, monetary circulation,
#{{l|ja|金曜}}, {{l|ja|きんよう}} -(abbr) Friday
#{{l|ja|九}}, {{l|ja|く}} -nine
#{{l|ja|句}}, {{l|ja|く}} -sentence
#{{l|ja|食う}}, {{l|ja|くう}} -(male) (vulg) to eat
#{{l|ja|偶然}}, {{l|ja|ぐうぜん}} -(by) chance,unexpectedly,suddenly
#{{l|ja|臭い}}, {{l|ja|くさい}} -stink, smelly (bad)
#{{l|ja|鎖}}, {{l|ja|くさり}} -chain
#{{l|ja|腐る}}, {{l|ja|くさる}} -to rot,to go bad
#{{l|ja|癖}}, {{l|ja|くせ}} -a habit (often a bad habit),peculiarity
#{{l|ja|管}}, {{l|ja|くだ}} -pipe,tube
#{{l|ja|具体}}, {{l|ja|ぐたい}} -concrete,tangible,material
#{{l|ja|下さる}}, {{l|ja|くださる}} -(hon) to give,to confer
#{{l|ja|下り}}, {{l|ja|くだり}} -down-train (going away from Tokyo)
#{{l|ja|苦痛}}, {{l|ja|くつう}} -pain,agony
#{{l|ja|ぐっすり}} -sound asleep,fast asleep
#{{l|ja|区別}}, {{l|ja|くべつ}} -distinction,differentiation,classification
#{{l|ja|組}}, {{l|ja|くみ}} -class,group,team,set
#{{l|ja|組合}}, {{l|ja|くみあい}} -association,union
#{{l|ja|組む}}, {{l|ja|くむ}} -to put together
#{{l|ja|曇}}, {{l|ja|くもり}} -cloudiness,cloudy weather,shadow
#{{l|ja|位}}, {{l|ja|くらい}} -grade,rank,about
#{{l|ja|暮らし}}, {{l|ja|くらし}} -living,livelihood,subsistence,circumstances
#{{l|ja|暮らす}}, {{l|ja|くらす}} -to live,to get along
#{{l|ja|繰り返す}}, {{l|ja|くりかえす}} -to repeat,to do something over again
#{{l|ja|狂う}}, {{l|ja|くるう}} -to go mad,to get out of order
#{{l|ja|苦しい}}, {{l|ja|くるしい}} -painful,difficult
#{{l|ja|苦しむ}}, {{l|ja|くるしむ}} -to suffer,to groan,to be worried
#{{l|ja|暮れ}}, {{l|ja|くれ}} -year end,sunset,nightfall,end
#{{l|ja|苦労}}, {{l|ja|くろう}} -troubles,hardships
#{{l|ja|加える}}, {{l|ja|くわえる}} -to append,to sum up,to add (up)
#{{l|ja|詳しい}}, {{l|ja|くわしい}} -knowing very well,detailed,full,accurate
#{{l|ja|加わる}}, {{l|ja|くわわる}} -to join in,to accede to,to increase,to gain in (influence)
#{{l|ja|訓}}, {{l|ja|くん}} -native Japanese reading of a Chinese character
#{{l|ja|軍}}, {{l|ja|ぐん}} -army,force,troops
#{{l|ja|軍隊}}, {{l|ja|ぐんたい}} -army,troops
#{{l|ja|訓練}}, {{l|ja|くんれん}} -practice,training
#{{l|ja|下}}, {{l|ja|げ}} -under,below,beneath
#{{l|ja|敬意}}, {{l|ja|けいい}} -respect,honour
#{{l|ja|経営}}, {{l|ja|けいえい}} -management,administration
#{{l|ja|計画}}, {{l|ja|けいかく}}する -plan,project,schedule,scheme,program,to plan
#{{l|ja|景気}}, {{l|ja|けいき}} -business climate, condition,state
#{{l|ja|経験}}, {{l|ja|けいけん}}する -experience, to experience
#{{l|ja|傾向}}, {{l|ja|けいこう}} -tendency,trend,inclination
#{{l|ja|警告}}, {{l|ja|けいこく}} -warning,advice
#{{l|ja|計算}}, {{l|ja|けいさん}} -calculation,reckoning
#{{l|ja|掲示}}, {{l|ja|けいじ}} -notice,bulletin
#{{l|ja|刑事}}, {{l|ja|けいじ}} -a police detective
#{{l|ja|芸術}}, {{l|ja|げいじゅつ}} -(fine) art,the arts
#{{l|ja|契約}}, {{l|ja|けいやく}} -contract,compact,agreement
#{{l|ja|経由}}, {{l|ja|けいゆ}} -go by the way,via
#{{l|ja|怪我}}, {{l|ja|けが}}する -injury (to animate object),hurt, to injure
#{{l|ja|劇}}, {{l|ja|げき}} -drama,play
#{{l|ja|劇場}}, {{l|ja|げきじょう}} -theatre,playhouse
#{{l|ja|化粧}}, {{l|ja|けしょう}} -make-up (cosmetic)
#{{l|ja|けち}} -stinginess,miser,miserliness
#{{l|ja|結果}}, {{l|ja|けっか}} -result,consequence
#{{l|ja|欠陥}}, {{l|ja|けっかん}} -defect,fault,deficiency
#{{l|ja|結局}}, {{l|ja|けっきょく}} -after all,eventually
#{{l|ja|決心}}, {{l|ja|けっしん}} -determination,resolution
#{{l|ja|欠席}}, {{l|ja|けっせき}} -absence,non-attendance
#{{l|ja|決定}}, {{l|ja|けってい}} -decision,determination
#{{l|ja|欠点}}, {{l|ja|けってん}} -faults,defect,weakness
#{{l|ja|月曜}}, {{l|ja|げつよう}} -Monday
#{{l|ja|結論}}, {{l|ja|けつろん}} -conclusion
#{{l|ja|煙}}, {{l|ja|けむり}} -smoke,fumes
#{{l|ja|券}}, {{l|ja|けん}} -ticket,coupon,bond,certificate
#{{l|ja|県}}, {{l|ja|けん}} -prefecture
#{{l|ja|軒}}, {{l|ja|けん}} -a couter for house
#{{l|ja|喧嘩}}, {{l|ja|けんか}} -quarrel,(drunken) brawl,failure
#{{l|ja|見解}}, {{l|ja|けんかい}} -opinion,point of view
#{{l|ja|限界}}, {{l|ja|げんかい}} -limit,bound
#{{l|ja|現金}}, {{l|ja|げんきん}} -cash,ready money,mercenary,
#{{l|ja|言語}}, {{l|ja|げんご}} -language
#{{l|ja|健康}}, {{l|ja|けんこう}} -health,sound,wholesome
#{{l|ja|検査}}, {{l|ja|けんさ}} -inspection (e.g. customs, factory),examination
#{{l|ja|現在}}, {{l|ja|げんざい}} -present,up to now,nowadays,modern times,current
#{{l|ja|現実}}, {{l|ja|げんじつ}} -reality
#{{l|ja|現象}}, {{l|ja|げんしょう}} -phenomenon
#{{l|ja|現状}}, {{l|ja|げんじょう}} -present condition,existing state,status quo
#{{l|ja|建設}}, {{l|ja|けんせつ}} -construction,establishment
#{{l|ja|現代}}, {{l|ja|げんだい}} -nowadays,modern times,present-day
#{{l|ja|建築}}, {{l|ja|けんちく}} -construction,architecture
#{{l|ja|見当}}, {{l|ja|けんとう}} -be found,aim,estimate,guess,approx
#{{l|ja|検討}}, {{l|ja|けんとう}} -consideration,examination,investigation,study,scrutiny
#{{l|ja|現場}}, {{l|ja|げんば}} -actual spot,scene,scene of the crime
#{{l|ja|憲法}}, {{l|ja|けんぽう}} -constitution
#{{l|ja|権利}}, {{l|ja|けんり}} -right,privilege
#{{l|ja|後}}, {{l|ja|ご}} -afterwards,since then,in the future
#{{l|ja|語}}, {{l|ja|ご}} -suffix for language,word
#{{l|ja|恋}}, {{l|ja|こい}} -love,tender passion
#{{l|ja|濃い}}, {{l|ja|こい}} -thick (as of color, liquid),dense,strong
#{{l|ja|恋人}}, {{l|ja|こいびと}} -lover,sweetheart
#{{l|ja|幸運}}, {{l|ja|こううん}} -good luck,fortune
#{{l|ja|講演}}, {{l|ja|こうえん}} -lecture,address
#{{l|ja|効果}}, {{l|ja|こうか}} -effect,effectiveness,efficacy,result
#{{l|ja|硬貨}}, {{l|ja|こうか}} -coin
#{{l|ja|高価}}, {{l|ja|こうか}} -high price
#{{l|ja|豪華}}, {{l|ja|ごうか}} -wonderful,gorgeous,splendor,pomp,extravagance
#{{l|ja|合格}}, {{l|ja|ごうかく}} -success,passing (e.g. exam),eligibility
#{{l|ja|交換}}, {{l|ja|こうかん}} -exchange,interchange,reciprocity
#{{l|ja|航空}}, {{l|ja|こうくう}} -aviation,flying
#{{l|ja|光景}}, {{l|ja|こうけい}} -scene,spectacle
#{{l|ja|合計}}, {{l|ja|ごうけい}} -sum total,total amount
#{{l|ja|攻撃}}, {{l|ja|こうげき}} -attack,strike,offensive,criticism,censure
#{{l|ja|貢献}}, {{l|ja|こうけん}} -contribution,services
#{{l|ja|広告}}, {{l|ja|こうこく}} -advertisement
#{{l|ja|交際}}, {{l|ja|こうさい}} -company,friendship,association,society,acquaintance
#{{l|ja|後者}}, {{l|ja|こうしゃ}} -the latter
#{{l|ja|構成}}, {{l|ja|こうせい}} -organization,composition
#{{l|ja|高速}}, {{l|ja|こうそく}} -high speed,high gear
#{{l|ja|行動}}, {{l|ja|こうどう}} -action,conduct,behaviour,mobilization
#{{l|ja|強盗}}, {{l|ja|ごうとう}} -robbery,burglary
#{{l|ja|幸福}}, {{l|ja|こうふく}} -happiness,blessedness
#{{l|ja|公平}}, {{l|ja|こうへい}} -fairness,impartial,justice
#{{l|ja|候補}}, {{l|ja|こうほ}} -candidacy
#{{l|ja|考慮}}, {{l|ja|こうりょ}} -consideration,taking into account
#{{l|ja|越える}}, {{l|ja|こえる}} -to exceed,to cross over,to cross
#{{l|ja|氷}}, {{l|ja|こおり}} -ice,hail
#{{l|ja|凍る}}, {{l|ja|こおる}} -to freeze,to be frozen over,to congeal
#{{l|ja|誤解}}, {{l|ja|ごかい}} -misunderstanding
#{{l|ja|語学}}, {{l|ja|ごがく}} -language study
#{{l|ja|呼吸}}, {{l|ja|こきゅう}} -breath,respiration
#{{l|ja|故郷}}, {{l|ja|こきょう}} -home town,birthplace,old village,historic village
#{{l|ja|国語}}, {{l|ja|こくご}} -national language
#{{l|ja|黒板}}, {{l|ja|こくばん}} -blackboard
#{{l|ja|克服}}, {{l|ja|こくふく}} -subjugation,conquest
#{{l|ja|国民}}, {{l|ja|こくみん}} -national,people,citizen
#{{l|ja|穀物}}, {{l|ja|こくもつ}} -grain,cereal,corn
#{{l|ja|ここ}}, {{l|ja|ここ}} -here
#{{l|ja|腰}}, {{l|ja|こし}} -hip
#{{l|ja|故障}}, {{l|ja|こしょう}} -break-down,failure,accident,out of order
#{{l|ja|個人}}, {{l|ja|こじん}} -individual,private person,personal,private
#{{l|ja|越す}}, {{l|ja|こす}} -to go over (e.g. with audience)
#{{l|ja|国家}}, {{l|ja|こっか}} -state,country,nation
#{{l|ja|国会}}, {{l|ja|こっかい}} -National Diet,parliament,congress
#{{l|ja|国境}}, {{l|ja|こっきょう}} -national or state border
#{{l|ja|骨折}}, {{l|ja|こっせつ}} -bone fracture
#{{l|ja|小包}}, {{l|ja|こづつみ}} -parcel,package
#{{l|ja|事}}, {{l|ja|こと}} -thing,matter,fact,circumstances
#{{l|ja|異なる}}, {{l|ja|ことなる}} -to differ,to vary,to disagree
#{{l|ja|諺}}, {{l|ja|ことわざ}} -proverb,maxim
#{{l|ja|断る}}, {{l|ja|ことわる}} -to refuse,to decline,to dismiss
#{{l|ja|粉}}, {{l|ja|こな}} -flour,meal,powder
#{{l|ja|この}}, {{l|ja|この}} -this
#{{l|ja|好み}}, {{l|ja|このみ}} -liking,taste,choice
#{{l|ja|好む}}, {{l|ja|このむ}} -to like,to prefer
#{{l|ja|塵}}, {{l|ja|ごみ}} -dust,dirt rubbish
#{{l|ja|小麦}}, {{l|ja|こむぎ}} -wheat
#{{l|ja|ごめんなさい}} -I beg your pardon,excuse me
#{{l|ja|小屋}}, {{l|ja|こや}} -hut,cabin,shed,(animal) pen
#{{l|ja|これら}} -these
#{{l|ja|頃}}, {{l|ja|ころ}} -time,about,toward,approximately (time)
#{{l|ja|殺す}}, {{l|ja|ころす}} -to kill
#{{l|ja|転ぶ}}, {{l|ja|ころぶ}} -to fall down,to fall over
#{{l|ja|今回}}, {{l|ja|こんかい}} -now,this time,lately
#{{l|ja|今後}}, {{l|ja|こんご}} -from now on,hereafter
#{{l|ja|混雑}}, {{l|ja|こんざつ}} -congestion,
#{{l|ja|こんなに}} -so,like this,in this way
#{{l|ja|困難}}, {{l|ja|こんなん}} -difficulty,distress
#{{l|ja|今日}}, {{l|ja|こんにち}} -today,this day
#{{l|ja|こんにちは}} -hello,good day (daytime greeting, id)
#{{l|ja|婚約}}, {{l|ja|こんやく}} -engagement,betrothal
#{{l|ja|混乱}}, {{l|ja|こんらん}} -disorder,chaos,confusion,mayhem
#{{l|ja|差}}, {{l|ja|さ}} -difference,variation
#{{l|ja|際}}, {{l|ja|さい}} -on the occasion of,circumstances
#{{l|ja|最高}}, {{l|ja|さいこう}} -highest,supreme,the most
#{{l|ja|財産}}, {{l|ja|ざいさん}} -property,fortune,assets
#{{l|ja|最終}}, {{l|ja|さいしゅう}} -last,final,closing
#{{l|ja|最中}}, {{l|ja|さいちゅう}} -in the middle of
#{{l|ja|最低}}, {{l|ja|さいてい}} -least,lowest,worst
#{{l|ja|才能}}, {{l|ja|さいのう}} -talent,ability
#{{l|ja|裁判}}, {{l|ja|さいばん}} -trial,judgement
#{{l|ja|材料}}, {{l|ja|ざいりょう}} -ingredients,material
#{{l|ja|幸い}}, {{l|ja|さいわい}} -happiness,blessedness
#{{l|ja|境}}, {{l|ja|さかい}} -border,boundary,mental state
#{{l|ja|逆らう}}, {{l|ja|さからう}} -to go against,to oppose,to disobey,to defy
#{{l|ja|盛り}}, {{l|ja|さかり}} -the highest, the peak, prime
#{{l|ja|作業}}, {{l|ja|さぎょう}} -work,operation,manufacturing,fatigue duty
#{{l|ja|作品}}, {{l|ja|さくひん}} -work,opus,performance,production
#{{l|ja|作物}}, {{l|ja|さくもつ}} -produce (e.g. agricultural),crops
#{{l|ja|桜}}, {{l|ja|さくら}} -cherry blossom,cherry tree
#{{l|ja|酒}}, {{l|ja|さけ}} -alcohol,sake
#{{l|ja|叫ぶ}}, {{l|ja|さけぶ}} -to shout,to cry
#{{l|ja|避ける}}, {{l|ja|さける}} -(1) to avoid (physical contact ),(2) to ward off,to avert
#{{l|ja|支える}}, {{l|ja|ささえる}} -to support, to hold, maintain
#{{l|ja|指す}}, {{l|ja|さす}} -to point,to put up umbrella,to play
#{{l|ja|座席}}, {{l|ja|ざせき}} -seat
#{{l|ja|誘う}}, {{l|ja|さそう}} -(1) to invite,to ask,(2) to tempt,to lure,to induce
